valid_time,latitude,longitude,t2m,d2m,sp,tp,number,expver,fecha_actualizacion
2025-10-14,13.600000000000001,-89.60000000000002,297.35657,295.81104,97918.69,0.015242662,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.600000000000001,-89.50000000000003,295.98157,294.37744,95334.69,0.016861025,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.600000000000001,-89.40000000000003,295.17688,293.69385,93893.69,0.017330658,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.600000000000001,-89.30000000000004,294.92493,293.7505,93589.69,0.018326644,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.600000000000001,-89.20000000000005,295.17688,294.32666,94454.69,0.019546967,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.600000000000001,-89.10000000000005,295.80188,295.0962,96108.69,0.022573818,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.600000000000001,-89.0,295.69446,294.99463,96050.69,0.02685583,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-90.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.9,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.80000000000001,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.70000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.60000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.50000000000003,297.1886,295.23096,97634.69,0.01656318,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.40000000000003,297.1339,295.31104,97852.69,0.016034458,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.30000000000004,297.14758,295.58252,98025.69,0.015016865,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.20000000000005,297.6671,296.33838,99275.69,0.015258674,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.10000000000005,297.839,296.64307,99893.69,0.018278275,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.500000000000002,-89.0,297.65344,296.55518,99721.69,0.022543643,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-90.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.9,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.80000000000001,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.70000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.60000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.50000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.40000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.30000000000004,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.20000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.10000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.400000000000002,-89.0,298.58704,297.27197,101254.69,0.018176291,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-90.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.9,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.80000000000001,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.70000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.60000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.50000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.40000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.30000000000004,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.20000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.10000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.300000000000002,-89.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-90.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.9,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.80000000000001,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.70000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.60000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.50000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.40000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.30000000000004,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.20000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.10000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.200000000000003,-89.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-90.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.9,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.80000000000001,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.70000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.60000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.50000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.40000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.30000000000004,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.20000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.10000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.100000000000003,-89.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-90.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.9,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.80000000000001,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.70000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.60000000000002,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.50000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.40000000000003,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.30000000000004,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.20000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.10000000000005,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
2025-10-14,13.0,-89.0,,,,,0,0005,2025-10-19 20:37:48.903879+00:00
