valid_time,latitude,longitude,t2m,d2m,sp,tp,ssrd,strd,skt,swvl1,swvl2,swvl3,swvl4,stl1,stl2,stl3,stl4,u10,v10,number,expver,fecha_actualizacion
2025-10-25,13.9,-89.0,300.42236,293.7036,95705.69,0.000107431406,1.8365188e+07,3.435255e+07,298.85413,0.45840454,0.46202087,0.4520874,0.381073,299.67786,299.042,298.70093,299.95593,1.0070343,-0.427063,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-90.0,299.52783,296.61768,98143.69,0.0012611985,2.062136e+07,3.5317524e+07,298.98108,0.47329712,0.4852295,0.4888153,0.511261,300.1505,299.91113,299.3318,300.05164,1.3400421,-0.18780518,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.9,298.03564,295.10205,95083.69,0.0010172367,2.0417042e+07,3.5073812e+07,297.8971,0.4570923,0.45977783,0.46702576,0.5125427,298.9181,298.6006,297.9978,298.67664,1.0548859,-0.38897705,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.80000000000001,296.84814,294.0669,92787.69,0.0013289988,2.0244888e+07,3.4796236e+07,296.9303,0.44714355,0.45376587,0.4451294,0.49320984,297.84973,297.55566,296.87085,297.54187,0.7775421,-0.44854736,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.70000000000002,296.18018,293.68213,91629.69,0.0018864513,2.0132766e+07,3.4450124e+07,296.31116,0.38484192,0.38900757,0.4054718,0.42868042,297.0802,296.93262,296.14233,296.6903,0.51094055,-0.2210083,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.60000000000002,296.40088,293.83643,91673.69,0.0007151306,1.9951242e+07,3.420141e+07,296.66077,0.36273193,0.37251282,0.40377808,0.4260254,297.30872,297.02637,296.25757,296.85632,0.322464,-0.2649536,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.50000000000003,297.38135,293.9829,93106.69,0.0002974212,1.968204e+07,3.41414e+07,297.41467,0.35353088,0.36764526,0.40223694,0.3646698,298.08997,297.7998,297.1189,297.88953,0.4132843,-0.7161255,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.40000000000003,298.33057,294.27588,94857.69,0.00022121667,1.9411532e+07,3.4150972e+07,297.76624,0.34779358,0.3655548,0.381073,0.29162598,298.65247,298.542,297.96265,299.0243,0.6085968,-0.9866333,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.30000000000004,298.94385,293.74072,94996.69,0.00023167729,1.9165518e+07,3.419858e+07,298.79358,0.36076355,0.37521362,0.40071106,0.33345032,299.13293,298.71777,298.01343,298.91687,0.83613586,-0.7942505,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.20000000000005,298.9458,294.23877,94729.69,0.00030448436,1.8908228e+07,3.421055e+07,298.0885,0.36967468,0.3819275,0.405365,0.34243774,298.92395,298.85645,298.16968,299.1239,0.9650421,-0.63116455,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.10000000000005,299.09033,294.5454,95113.69,0.00030284523,1.8665144e+07,3.4330624e+07,298.7721,0.37805176,0.39031982,0.4059906,0.3384552,299.12903,298.70605,298.13257,299.07117,0.90644836,-0.46710205,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.8,-89.0,299.2329,295.00635,95309.69,0.00025927424,1.8470472e+07,3.4491612e+07,299.29358,0.43832397,0.4638977,0.48391724,0.45265198,299.55872,298.69238,298.3142,299.3153,0.8605499,-0.09503174,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.9,300.11572,297.11377,99493.69,0.001348728,2.0371876e+07,3.556655e+07,299.6139,0.4527588,0.4594574,0.4940338,0.4792633,301.17004,301.09863,300.48413,301.40515,1.6544952,-0.70147705,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.80000000000001,299.6372,297.21924,98897.69,0.0032387613,2.0290678e+07,3.519355e+07,299.22913,0.47766113,0.47357178,0.48313904,0.51264954,300.57043,300.3955,299.74585,300.5692,1.400589,-0.36358643,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.70000000000002,299.04346,297.03955,97859.69,0.0040893494,2.0195332e+07,3.4829644e+07,298.69592,0.43933105,0.4297638,0.43348694,0.46195984,300.16614,300.28027,299.42944,300.18054,1.1388702,-0.062805176,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.60000000000002,298.10986,295.93994,95778.69,0.0024539768,2.004015e+07,3.4517896e+07,298.02014,0.3874817,0.38729858,0.40849304,0.4306488,299.00012,298.9756,298.10522,298.745,0.84980774,0.024108887,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.50000000000003,297.17822,294.71533,93525.69,0.00071438553,1.9847506e+07,3.4277148e+07,297.45178,0.36990356,0.37864685,0.40296936,0.427063,298.1095,297.87598,297.04858,297.6454,0.650589,-0.05206299,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.40000000000003,297.10986,293.92822,92735.69,0.00038137435,1.9588768e+07,3.4236204e+07,297.25842,0.35964966,0.37202454,0.40777588,0.4130249,297.85364,297.6123,296.87085,297.55554,0.7492218,-0.25323486,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.30000000000004,297.24463,293.5376,92472.69,0.00046181082,1.9330296e+07,3.4244932e+07,297.53186,0.36706543,0.3789673,0.40675354,0.41490173,297.87512,297.44238,296.70093,297.32312,0.869339,-0.09307861,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.20000000000005,297.54346,294.08252,92921.69,0.0005970538,1.9062296e+07,3.422307e+07,297.63342,0.37948608,0.39057922,0.40830994,0.4193573,298.1349,297.7627,297.00366,297.66492,0.9054718,0.04168701,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.10000000000005,298.43213,295.1411,94476.69,0.00059627893,1.8818762e+07,3.4342348e+07,301.526,0.25402832,0.27815247,0.3136902,0.38006592,301.51184,301.32324,301.09937,301.3993,0.8459015,0.20574951,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.700000000000001,-89.0,298.6294,295.40088,94845.69,0.00049492123,1.8593788e+07,3.456261e+07,301.485,0.31399536,0.3387909,0.35588074,0.428833,301.40247,300.9463,300.72046,301.14148,0.7277374,0.3912964,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-90.0,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.9,,,,,,,,,,,,,,,,,,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.80000000000001,300.65674,298.25244,101179.69,0.004112029,2.0232198e+07,3.5577188e+07,300.28577,0.49215698,0.4767151,0.4693756,0.5154419,301.84778,301.76465,301.10913,301.97156,1.8917999,-0.5130005,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.70000000000002,300.14307,298.17236,100369.69,0.0050132214,2.0137322e+07,3.5209572e+07,299.62366,0.44558716,0.44073486,0.43681335,0.46072388,301.08606,301.1123,300.35522,301.1161,1.628128,-0.20440674,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.60000000000002,299.09033,296.93018,97977.69,0.0033068,1.9969538e+07,3.490489e+07,298.8053,0.39704895,0.39154053,0.41192627,0.431015,300.0099,300.07324,299.2185,299.90906,1.3400421,-0.14190674,0,0005,2025-10-30 20:31:53.090345+00:00
2025-10-25,13.600000000000001,-89.50000000000003,297.96338,295.5376,95399.69,0.001279676,1.9799742e+07,3.4612456e+07,298.10022,0.37782288,0.38391113,0.4091797,0.42738342,298.91028,298.80566,297.94702,298.5653,1.0773468,-0.074523926,0,0005,2025-10-30 20:31:53.090345+00:00
