valid_time,latitude,longitude,t2m,d2m,sp,tp,number,expver,fecha_actualizacion
2025-10-15,14.0,-90.0,294.89697,293.23096,93689.31,0.013718784,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.9,295.17627,293.438,93617.31,0.010581017,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.80000000000001,295.02783,292.1001,92189.31,0.0076304674,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.70000000000002,295.17822,292.438,91717.31,0.007055968,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.60000000000002,295.6333,292.87744,92060.31,0.0075321496,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.50000000000003,296.5708,293.47314,93721.31,0.008624256,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.40000000000003,297.4712,293.40088,95006.31,0.009586006,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.30000000000004,298.02783,293.06104,95453.31,0.0101522505,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.20000000000005,298.42432,293.3423,96035.31,0.010835916,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.10000000000005,298.4419,293.70166,96101.31,0.011141539,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,14.0,-89.0,298.01416,293.8286,95573.31,0.010938197,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-90.0,295.5337,294.438,95310.31,0.017342597,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.9,294.49072,293.2212,92783.31,0.014199197,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.80000000000001,293.78955,291.86377,90519.31,0.01105839,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.70000000000002,293.0962,290.7798,88712.31,0.009482861,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.60000000000002,294.29736,291.05908,90089.31,0.010256439,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.50000000000003,296.09424,292.8833,93194.31,0.011452556,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.40000000000003,297.4048,293.5415,95520.31,0.012416512,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.30000000000004,298.03174,293.2251,96063.31,0.012975961,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.20000000000005,298.31104,292.71533,95975.31,0.013704538,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.10000000000005,298.4048,293.06885,95994.31,0.013847411,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.9,-89.0,298.3169,293.16455,95794.31,0.013531774,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-90.0,297.05127,295.7876,98218.31,0.01578033,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.9,295.73682,294.313,95134.31,0.013242185,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.80000000000001,294.68018,293.31494,92826.31,0.011928409,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.70000000000002,294.11377,292.79346,91665.31,0.012067854,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.60000000000002,294.2954,292.5962,91712.31,0.010195047,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.50000000000003,295.51807,292.729,93157.31,0.010645598,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.40000000000003,296.56104,294.09424,94925.31,0.011612177,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.30000000000004,297.0083,293.4048,95070.31,0.012472391,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.20000000000005,297.24072,292.9048,94803.31,0.014269501,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.10000000000005,297.6919,292.68604,95191.31,0.0146018565,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.8,-89.0,297.93213,292.93213,95391.31,0.013759583,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-90.0,,,,,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.9,298.0923,296.32275,99574.31,0.012842059,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.80000000000001,297.53564,296.2622,98983.31,0.01499176,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.70000000000002,296.86377,296.0298,97949.31,0.01577732,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.60000000000002,295.77783,295.063,95855.31,0.01277408,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.50000000000003,294.8169,293.7622,93586.31,0.010004461,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.40000000000003,294.86182,292.88916,92788.31,0.010620773,0,0005,2025-10-20 04:01:11.171476+00:00
2025-10-15,13.700000000000001,-89.30000000000004,295.10596,292.6001,92525.31,0.012504548,0,0005,2025-10-20 04:01:11.171476+00:00
