valid_time,latitude,longitude,swvl1,swvl2,swvl3,swvl4,stl1,stl2,stl3,stl4,number,expver,fecha_actualizacion
2025-10-17,13.700000000000001,-89.70000000000002,0.45314026,0.45509338,0.4627533,0.45874023,298.66284,299.40344,299.3518,300.34485,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.60000000000002,0.40856934,0.4306488,0.42974854,0.42944336,297.25073,297.96985,297.9729,298.91125,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.50000000000003,0.411911,0.4280548,0.4173584,0.42855835,296.18433,296.88586,296.8694,297.8058,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.40000000000003,0.41770935,0.4190216,0.42079163,0.40586853,295.99487,296.74915,296.76587,297.7218,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.30000000000004,0.4155426,0.41464233,0.41989136,0.40979004,295.85034,296.589,296.56665,297.47766,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.20000000000005,0.42251587,0.40847778,0.41809082,0.41567993,296.2683,297.01086,296.88892,297.82532,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.10000000000005,0.27311707,0.28781128,0.31654358,0.3753662,300.4109,300.6925,300.69556,301.07532,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.700000000000001,-89.0,0.30906677,0.35388184,0.36831665,0.4272766,300.09058,300.34875,300.42407,300.92688,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-90.0,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.9,,,,,,,,,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.80000000000001,0.46368408,0.5200043,0.50723267,0.5093689,300.4734,301.09094,301.0901,302.12024,0,0005,2025-10-22 21:58:31.513944+00:00
2025-10-17,13.600000000000001,-89.70000000000002,0.44107056,0.46368408,0.45739746,0.4568634,299.58862,300.29602,300.29712,301.27844,0,0005,2025-10-22 21:58:31.513944+00:00
